momentum_period,trailing_stop,pnl net,return,drawdown,total closed,won total,lost total,sharpe,sqn
3,0.05,-6433.783137097983,-0.0011447530795020574,7.779334289327585,65,9,56,-1.9941720792841127,-4.944381420710292
3,0.05,-6671.661313686666,-0.0011875112934409341,8.19117244282897,64,9,55,-1.9406734922385394,-5.052041474195188
3,0.05,-6433.783137097983,-0.0011447530795020574,7.779334289327585,65,9,56,-1.9941720792841127,-4.944381420710292
6,0.05,-5929.371753282458,-0.0010369300319515201,7.383496149407014,58,9,49,-2.037459898587661,-4.972596295555273
6,0.05,-6035.804931789414,-0.0010615805654913457,7.454210106181811,58,8,50,-2.062384721815386,-5.042660843677549
6,0.05,-5929.371753282458,-0.0010369300319515201,7.383496149407014,58,9,49,-2.037459898587661,-4.972596295555273
9,0.05,-5659.9950557499515,-0.0010247066359016805,7.163518341639659,56,12,44,-2.1048822097901434,-4.820017593306388
9,0.05,-5864.207711869334,-0.0010608291585413921,7.374090445631822,56,10,46,-2.112565876703456,-4.978879800227288
9,0.05,-5659.9950557499515,-0.0010247066359016805,7.163518341639659,56,12,44,-2.1048822097901434,-4.820017593306388
12,0.05,-5635.466643288093,-0.0009877744181928864,7.098878942340978,55,10,45,-2.037738391671623,-4.899078609404144
12,0.05,-5751.011705919662,-0.0010103212747598162,7.19332101888536,55,9,46,-2.05657043121737,-4.981986865913214
12,0.05,-5635.466643288093,-0.0009877744181928864,7.098878942340978,55,10,45,-2.037738391671623,-4.899078609404144
15,0.05,-6126.930008556084,-0.0010934887281307123,7.413131706553195,55,9,46,-2.1731224888925693,-5.286830239663234
15,0.05,-5742.285250845473,-0.0010332193446260375,7.167066270084205,53,7,46,-2.167429434888467,-4.902153731154107
15,0.05,-6126.930008556084,-0.0010934887281307123,7.413131706553195,55,9,46,-2.1731224888925693,-5.286830239663234
18,0.05,-6211.905392074972,-0.0011297250456289798,7.431336160037746,55,9,46,-2.120598008105307,-5.456188414060585
18,0.05,-5949.120155443937,-0.001079570144357791,7.299123904093278,54,7,47,-2.128621481092492,-5.171073481900146
18,0.05,-6211.905392074972,-0.0011297250456289798,7.431336160037746,55,9,46,-2.120598008105307,-5.456188414060585
21,0.05,-5813.52223723187,-0.0010576596033849044,7.235355072349337,52,8,44,-2.1416403789688268,-4.7346330358709645
21,0.05,-5746.791922407182,-0.0010487059811640285,7.090412938582473,50,7,43,-2.1142951278846924,-4.45009712919526
21,0.05,-5813.52223723187,-0.0010576596033849044,7.235355072349337,52,8,44,-2.1416403789688268,-4.7346330358709645
24,0.05,-5596.673722366749,-0.0010191030445524964,7.406332163295752,50,8,42,-2.2434257711430488,-4.624069985712542
24,0.05,-5120.238121234815,-0.0009386086631661464,6.824408015013195,46,7,39,-2.295541851724175,-4.174191049978502
24,0.05,-5596.673722366749,-0.0010191030445524964,7.406332163295752,50,8,42,-2.2434257711430488,-4.624069985712542
27,0.05,-4194.311409162461,-0.0007803437496731579,7.174065778935091,47,10,37,-2.311794384416135,-3.3668795964651537
27,0.05,-4083.0800231331373,-0.0007545482342827978,6.929234138628857,45,9,36,-2.36440611052772,-3.2881914019757095
27,0.05,-4194.311409162461,-0.0007803437496731579,7.174065778935091,47,10,37,-2.311794384416135,-3.3668795964651537
30,0.05,-3728.109296969407,-0.0006837023027155237,6.66968860512531,45,10,35,-2.2899605110955163,-2.9902801453677457
30,0.05,-3452.3684082743835,-0.0006287715640674745,6.323890715918484,43,9,34,-2.4004323284933,-2.7823925911625347
30,0.05,-3728.109296969407,-0.0006837023027155237,6.66968860512531,45,10,35,-2.2899605110955163,-2.9902801453677457
33,0.05,-3311.795718804758,-0.0006096053141208729,6.382004404418809,44,10,34,-2.2077016541834174,-2.682101044844507
33,0.05,-2942.2891694440746,-0.0005418676488234825,6.011813317899162,41,9,32,-2.312207049749289,-2.340350039615823
33,0.05,-3311.795718804758,-0.0006096053141208729,6.382004404418809,44,10,34,-2.2077016541834174,-2.682101044844507
36,0.05,-4285.33907445019,-0.0008118682686760673,7.2504657125413265,47,10,37,-2.224137289323034,-3.508831169140181
36,0.05,-3935.8492352087137,-0.0007352434081134842,6.818930551287381,44,9,35,-2.3706100005217485,-3.209802228445781
36,0.05,-4285.33907445019,-0.0008118682686760673,7.2504657125413265,47,10,37,-2.224137289323034,-3.508831169140181
39,0.05,-3413.894914752531,-0.0006436534489736914,6.535885496495861,44,10,34,-2.2721991130888552,-2.8302680130995577
39,0.05,-3221.824795186835,-0.0005917587131244098,6.218641246026617,42,10,32,-2.39588488609717,-2.631047364675412
39,0.05,-3413.894914752531,-0.0006436534489736914,6.535885496495861,44,10,34,-2.2721991130888552,-2.8302680130995577
42,0.05,-3448.972116144859,-0.0005983855544096033,6.180376289205492,44,10,34,-2.3635108615669873,-2.9080274082753754
42,0.05,-3025.514795282277,-0.0005211216703368371,5.800845189386866,41,9,32,-2.4688580477283524,-2.558748156927221
42,0.05,-3448.972116144859,-0.0005983855544096033,6.180376289205492,44,10,34,-2.3635108615669873,-2.9080274082753754
45,0.05,-3363.4052192075787,-0.000585420674583522,6.007142804347741,43,11,32,-2.367525456540343,-2.7405860809265303
45,0.05,-3014.6428129383303,-0.0005146470518431174,5.70804183491443,40,10,30,-2.4944976136129924,-2.41231806587724
45,0.05,-3363.4052192075787,-0.000585420674583522,6.007142804347741,43,11,32,-2.367525456540343,-2.7405860809265303
48,0.05,-3560.9346436551928,-0.0006562557579596777,6.276566422528257,42,9,33,-2.4182786784707004,-3.0568202059427976
48,0.05,-3002.559986997192,-0.0005401643666534663,5.791039515975176,39,8,31,-2.495971790262519,-2.443409616263432
48,0.05,-3560.9346436551928,-0.0006562557579596777,6.276566422528257,42,9,33,-2.4182786784707004,-3.0568202059427976
51,0.05,-3030.7772971461186,-0.0005162144102608406,5.534737187488259,40,10,30,-2.292546233840952,-2.460288061585775
51,0.05,-2717.247700833529,-0.00044096357734921905,4.986757691884037,37,8,29,-2.4721568146800617,-2.2631796113031784
51,0.05,-3030.7772971461186,-0.0005162144102608406,5.534737187488259,40,10,30,-2.292546233840952,-2.460288061585775
54,0.05,-2645.322580094302,-0.00048571034540984573,5.363814635739478,39,10,29,-2.3019489081106377,-2.1451418436542085
54,0.05,-2391.39301062629,-0.00041952623074360357,4.781834647555559,36,9,27,-2.510525548109012,-1.902162058595236
54,0.05,-2645.322580094302,-0.00048571034540984573,5.363814635739478,39,10,29,-2.3019489081106377,-2.1451418436542085
57,0.05,-2208.4225785600215,-0.0003828906014875103,4.918519360945937,37,11,26,-2.3643210090829663,-1.7068248469882978
57,0.05,-1870.4139460916062,-0.000308239700481999,4.4121478282135405,34,10,24,-2.5322930114346582,-1.4697322807312154
57,0.05,-2208.4225785600215,-0.0003828906014875103,4.918519360945937,37,11,26,-2.3643210090829663,-1.7068248469882978
60,0.05,-2113.5522146079925,-0.0003709350178084342,4.787920738075298,36,11,25,-2.378514810256992,-1.6358963255840866
60,0.05,-1752.9577162119556,-0.0002934000682091965,4.306725531936599,33,9,24,-2.5849010049985957,-1.3792725219402595
60,0.05,-2113.5522146079925,-0.0003709350178084342,4.787920738075298,36,11,25,-2.378514810256992,-1.6358963255840866
