date,quarter,stocks,stocks_count
2005-06-30,2005-Q2,"MSNG,LKOH,SIBN,SNGS,IRKT,RTKM,RTKMP",7
2005-09-30,2005-Q3,"MSNG,LKOH,SIBN,ELFV,IRKT,RTKM,SNGS",7
2005-12-31,2005-Q4,"MSNG,ELFV,LKOH,IRKT,SIBN,SNGS,SBER",7
2006-03-31,2006-Q1,"MSNG,ELFV,LKOH,IRKT,GAZP,RTKM,SIBN",7
2006-06-30,2006-Q2,"MSNG,GAZP,ELFV,LKOH,IRKT,SBER,SIBN",7
2006-09-30,2006-Q3,"MSNG,GAZP,ELFV,LKOH,MSRS,IRKT,ROSN",7
2006-12-31,2006-Q4,"ELFV,MSNG,GAZP,LKOH,UPRO,RTKMP,MSRS",7
2007-03-31,2007-Q1,"TGKB,MSNG,ELFV,UPRO,MSRS,GAZP,ROSN",7
2007-06-30,2007-Q2,"TGKB,TGKN,TGKA,MSNG,ELFV,TTLK,UPRO",7
2007-09-30,2007-Q3,"TGKN,TGKB,TGKA,ELFV,MSNG,TGKBP,OGKB",7
2007-12-31,2007-Q4,"TGKN,TGKB,TGKA,UPRO,ELFV,MSNG,TGKBP",7
2008-03-31,2008-Q1,"TGKB,TGKN,TGKA,TGKBP,ELFV,UPRO,ROSN",7
2008-06-30,2008-Q2,"TGKN,TGKB,TGKA,TGKBP,ELFV,ROSN,OGKB",7
2008-09-30,2008-Q3,"TGKB,TGKN,TGKA,MRKP,TGKBP,UPRO,MSNG",7
2008-12-31,2008-Q4,"TGKB,TGKN,TGKA,MRKP,UPRO,MRKU,MSRS",7
2009-03-31,2009-Q1,"TGKN,TGKB,TGKA,MRKP,TGKBP,ROSN,MRKV",7
2009-06-30,2009-Q2,"TGKN,TGKB,TGKA,MRKP,TGKBP,MSNG,OGKB",7
2009-09-30,2009-Q3,"TGKB,TGKN,TGKA,TGKBP,MSNG,MRKP,OGKB",7
2009-12-31,2009-Q4,"TGKB,TGKN,TGKA,TGKBP,MRKP,TTLK,OGKB",7
2010-03-31,2010-Q1,"TGKB,TGKN,TGKA,MRKY,MRKP,TGKBP,OGKB",7
2010-06-30,2010-Q2,"TGKB,TGKBP,TGKN,TGKA,MRKY,OGKB,UPRO",7
2010-09-30,2010-Q3,"TGKB,TGKA,TGKN,TGKBP,OGKB,MSNG,MRKY",7
2010-12-31,2010-Q4,"TGKB,TGKN,TGKA,TGKBP,MRKV,MRKY,MRKP",7
2011-03-31,2011-Q1,"TGKB,TGKA,TGKN,TGKBP,MRKP,MRKV,MRKY",7
2011-06-30,2011-Q2,"TGKB,TGKA,TGKN,TGKBP,OGKB,UPRO,MRKU",7
2011-09-30,2011-Q3,"TGKB,TGKA,TGKN,TGKBP,OGKB,UPRO,MRKP",7
2011-12-31,2011-Q4,"TGKB,TGKA,TGKN,TGKBP,OGKB,MRKP,MRKU",7
2012-03-31,2012-Q1,"TGKA,TGKB,TGKN,OGKB,TGKBP,ELFV,MSNG",7
2012-06-30,2012-Q2,"TGKB,TGKA,TGKN,OGKB,UPRO,MSNG,TGKBP",7
2012-09-30,2012-Q3,"TGKB,TGKA,TGKN,TGKBP,MRKP,MSNG,OGKB",7
2012-12-31,2012-Q4,"TGKA,TGKB,TGKN,TGKBP,MRKU,MRKP,UPRO",7
2013-03-31,2013-Q1,"TGKN,TGKA,TGKB,UPRO,OGKB,MRKP,TGKBP",7
2013-06-30,2013-Q2,"TGKA,TGKN,TGKB,UPRO,OGKB,TGKBP,MRKP",7
2013-09-30,2013-Q3,"TGKA,TGKB,TGKN,OGKB,UPRO,MRKP,MSNG",7
2013-12-31,2013-Q4,"TGKA,TGKB,MSRS,TGKN,UPRO,TGKBP,OGKB",7
2014-03-31,2014-Q1,"TGKA,TGKN,TGKB,UPRO,MSRS,MRKP,TGKBP",7
2014-06-30,2014-Q2,"TGKA,TGKB,UPRO,TGKN,MRKP,OGKB,TGKBP",7
2014-09-30,2014-Q3,"TGKA,TGKB,TGKN,UPRO,MRKP,TGKBP,OGKB",7
2014-12-31,2014-Q4,"TGKB,TGKA,TGKN,TGKBP,MSRS,UPRO,MRKV",7
2015-03-31,2015-Q1,"TGKA,TGKB,TGKN,TGKBP,UPRO,OGKB,MSNG",7
2015-06-30,2015-Q2,"TGKA,TGKB,OGKB,UPRO,MSNG,TGKN,TGKBP",7
2015-09-30,2015-Q3,"TGKB,TGKA,TGKN,MSNG,TGKBP,UPRO,MRKV",7
2015-12-31,2015-Q4,"TGKB,TGKA,TGKN,UPRO,MSNG,TGKBP,MRKV",7
2016-03-31,2016-Q1,"TGKB,TGKA,UPRO,TGKN,MSNG,TGKBP,MRKP",7
2016-06-30,2016-Q2,"TGKB,TGKA,TGKN,TGKBP,MSNG,MRKP,UPRO",7
2016-09-30,2016-Q3,"TGKN,TGKA,TGKB,TGKBP,UPRO,MRKP,MRKV",7
2016-12-31,2016-Q4,"TGKA,TGKB,TGKN,TGKBP,MSNG,MRKP,OGKB",7
2017-03-31,2017-Q1,"TGKA,TGKB,TGKN,TGKBP,UPRO,PRFN,MRKP",7
2017-06-30,2017-Q2,"TGKN,TGKA,TGKB,MRKP,TGKBP,UPRO,MSNG",7
2017-09-30,2017-Q3,"TGKB,TGKA,TGKBP,TGKN,MRKP,MRKV,MSNG",7
2017-12-31,2017-Q4,"TGKB,TGKA,TGKN,TGKBP,MRKP,MRKV,MRKU",7
2018-03-31,2018-Q1,"TGKA,TGKB,TGKBP,TGKN,MRKP,MRKV,UPRO",7
2018-06-30,2018-Q2,"SBER,GAZP,LKOH,ROSN,GMKN,VTBR,MGNT",7
2018-09-30,2018-Q3,"SBER,GAZP,LKOH,GMKN,MGNT,ROSN,SNGSP",7
2018-12-31,2018-Q4,"SBER,LKOH,GAZP,ROSN,GMKN,MGNT,SNGSP",7
2019-03-31,2019-Q1,"SBER,LKOH,GAZP,GMKN,ROSN,MGNT,ALRS",7
2019-06-30,2019-Q2,"SBER,GAZP,LKOH,GMKN,ROSN,SBERP,MGNT",7
2019-09-30,2019-Q3,"SBER,GAZP,LKOH,GMKN,SNGSP,SNGS,ROSN",7
2019-12-31,2019-Q4,"GAZP,SBER,LKOH,GMKN,SNGS,YDEX,ROSN",7
2020-03-31,2020-Q1,"SBER,GAZP,LKOH,GMKN,ROSN,SNGS,MGNT",7
2020-06-30,2020-Q2,"SBER,GAZP,LKOH,GMKN,ROSN,TATN,PLZL",7
2020-09-30,2020-Q3,"SBER,YDEX,GAZP,GMKN,LKOH,PLZL,MGNT",7
2020-12-31,2020-Q4,"SBER,GAZP,LKOH,GMKN,YDEX,PLZL,ROSN",7
2021-03-31,2021-Q1,"SBER,GMKN,GAZP,LKOH,ROSN,YDEX,TATN",7
2021-06-30,2021-Q2,"SBER,GAZP,GMKN,LKOH,VTBR,YDEX,ROSN",7
2021-09-30,2021-Q3,"GAZP,SBER,LKOH,GMKN,ROSN,ALRS,NVTK",7
2021-12-31,2021-Q4,"GAZP,SBER,LKOH,GMKN,ROSN,YDEX,SNGS",7
2022-03-31,2022-Q1,"SBER,GAZP,LKOH,YDEX,GMKN,ROSN,T",7
2022-06-30,2022-Q2,"GAZP,SBER,LKOH,ROSN,GMKN,NVTK,VTBR",7
2022-09-30,2022-Q3,"GAZP,SBER,LKOH,GMKN,NVTK,ROSN,YDEX",7
2022-12-31,2022-Q4,"SBER,GAZP,LKOH,PLZL,GMKN,ROSN,YDEX",7
2023-03-31,2023-Q1,"SBER,GAZP,PLZL,LKOH,ABIO,NVTK,SBERP",7
2023-06-30,2023-Q2,"SBER,GAZP,LKOH,VTBR,MGNT,YDEX,PLZL",7
2023-09-30,2023-Q3,"SBER,LKOH,GAZP,VTBR,TRNFP,MGNT,YDEX",7
2023-12-31,2023-Q4,"SBER,MTLR,LKOH,GAZP,YDEX,SNGSP,MGNT",7
2024-03-31,2024-Q1,"SBER,YDEX,LKOH,T,MTLR,GAZP,VTBR",7
2024-06-30,2024-Q2,"SBER,GAZP,LKOH,T,RNFT,AFKS,YDEX",7
2024-09-30,2024-Q3,"SBER,GAZP,LKOH,YDEX,T,MTLR,NVTK",7
2024-12-31,2024-Q4,"T,SBER,GAZP,LKOH,OZON,YDEX,SMLT",7
2025-03-31,2025-Q1,"SBER,GAZP,T,VTBR,SMLT,LKOH,NVTK",7
2025-06-30,2025-Q2,"GAZP,SBER,T,VTBR,LKOH,NVTK,YDEX",7
